Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-01-01,13439.4175,13062.145,14213.44125,12587.60375
BTC,2018-01-02,13337.62125,13439.4175,13892.2425,12859.8025
BTC,2018-01-03,14881.545,13337.62125,15216.75625,12955.965
BTC,2018-01-04,15104.45,14881.545,15394.98625,14588.595
BTC,2018-01-05,14953.8525,15104.45,15194.40625,14225.16625
BTC,2018-01-06,16576.69625,14953.8525,17118.35625,14816.50875
BTC,2018-01-07,16735.10625,16576.69625,17211.92375,16254.94875
BTC,2018-01-08,15632.41125,16735.10625,16861.20875,15546.415
BTC,2018-01-09,15242.93625,15632.41125,15944.5225,13957.9125
BTC,2018-01-10,14122.825,15242.93625,15360.1325,13968.24375
BTC,2018-01-11,13269.5975,14122.825,14942.61125,13161.5775
BTC,2018-01-12,13633.36375,13269.5975,14198.5325,12845.7125
BTC,2018-01-13,14165.90625,13633.36375,14262.0075,13363.81
BTC,2018-01-14,14217.3625,14165.90625,14536.54,14013.9475
BTC,2018-01-15,13519.92625,14217.3625,14245.52,13051.59375
BTC,2018-01-16,12915.11625,13519.92625,14307.53375,12762.9975
BTC,2018-01-17,10870.16875,12915.11625,13211.24625,10063.1175
BTC,2018-01-18,11340.65,10870.16875,11764.13625,9199.5925
BTC,2018-01-19,11137.36875,11340.65,12045.095,10663.945
BTC,2018-01-20,11742.94125,11137.36875,11955.4425,11022.02875
BTC,2018-01-21,12486.06625,11742.94125,13007.25125,11596.715
BTC,2018-01-22,11508.62,12486.06625,12486.06625,11096.0525
BTC,2018-01-23,10872.9025,11508.62,11868.715,10050.7925
BTC,2018-01-24,10830.9275,10872.9025,11358.33625,9972.2875
BTC,2018-01-25,11629.375,10830.9275,11710.9975,10497.15375
BTC,2018-01-26,11524.345,11629.375,11629.375,10889.045
BTC,2018-01-27,11005.615,11524.345,11540.4075,10321.04125
BTC,2018-01-28,11452.23,11005.615,11574.36125,10855.46
BTC,2018-01-29,11412.79375,11452.23,11942.255,11303.365
BTC,2018-01-30,10917.15125,11412.79375,11480.56375,10805.81625
BTC,2018-01-31,9914.4725,10917.15125,11063.8,9627.88875
BTC,2018-02-01,9970.30875,9914.4725,10334.41875,9688.28
BTC,2018-02-02,8715.59499,9970.30875,10169.8225,8563.9275
BTC,2018-02-03,8285.50124,8715.59499,9095.79999,7695.10375
BTC,2018-02-04,9192.045,8285.50124,9471.45624,8192.62999
BTC,2018-02-05,8136.39,9192.045,9363.41124,7859.5125
BTC,2018-02-06,6332.37,8136.39,8346.90625,6197.98
BTC,2018-02-07,7270.5075,6332.37,7957.3425,5947.39625
BTC,2018-02-08,7987.28125,7270.5075,8582.92625,7207.97125
BTC,2018-02-09,8086.7725,7987.28125,8621.275,7808.22
BTC,2018-02-10,8930.13875,8086.7725,9005.03375,7754.67
BTC,2018-02-11,8045.44,8930.13875,9070.63875,8030.6725
BTC,2018-02-12,8478.92499,8045.44,8566.15875,7845.12625
BTC,2018-02-13,8766.8525,8478.92499,8977.0775,8362.84125
BTC,2018-02-14,8693.2525,8766.8525,8772.87999,8370.48375
BTC,2018-02-15,9659.2875,8693.2525,9722.5475,8693.2525
BTC,2018-02-16,10110.83875,9659.2875,10293.44,9496.01874
BTC,2018-02-17,10474.77125,10110.83875,10496.205,9718.59375
BTC,2018-02-18,10855.9375,10474.77125,11279.17875,10472.71625
BTC,2018-02-19,10537.00625,10855.9375,10963.68625,10156.38125
BTC,2018-02-20,11416.03875,10537.00625,11497.405,10405.97625
BTC,2018-02-21,10928.02,11416.03875,11767.5775,10871.53125
BTC,2018-02-22,10727.9525,10928.02,11180.56125,10244.32125
BTC,2018-02-23,9809.72125,10727.9525,10913.64875,9592.95999
BTC,2018-02-24,10412.36875,9809.72125,10454.48,9705.1625
BTC,2018-02-25,9585.285,10412.36875,10509.625,9381.17125
BTC,2018-02-26,9627.71625,9585.285,9858.15749,9304.6825
BTC,2018-02-27,10272.9025,9627.71625,10443.27625,9386.48625
BTC,2018-02-28,10903.01875,10272.9025,10953.17375,10226.84874
BTC,2018-03-01,10352.04625,10903.01875,11044.16125,10222.435
BTC,2018-03-02,11100.2925,10352.04625,11165.6575,10329.06
BTC,2018-03-03,11305.1225,11100.2925,11351.24,10784.22125
BTC,2018-03-04,11171.8175,11305.1225,11498.415,11127.895
BTC,2018-03-05,11558.475,11171.8175,11574.94125,11067.785
BTC,2018-03-06,11246.7475,11558.475,11660.2425,11182.55125
BTC,2018-03-07,10735.88625,11246.7475,11323.345,10584.95875
BTC,2018-03-08,9552.75875,10735.88625,10810.4775,9468.44625
BTC,2018-03-09,8980.19249,9552.75875,10101.28125,8897.02249
BTC,2018-03-10,9251.2925,8980.19249,9413.14625,8370.79625
BTC,2018-03-11,8680.6075,9251.2925,9505.25625,8474.54
BTC,2018-03-12,9433.47374,8680.6075,9730.08124,8588.22875
BTC,2018-03-13,9047.5125,9433.47374,9885.2225,8778.20624
BTC,2018-03-14,9260.70875,9047.5125,9474.6775,8860.875
BTC,2018-03-15,7895.98875,9260.70875,9260.70875,7760.53125
BTC,2018-03-16,8039.6025,7895.98875,8413.11125,7676.51875
BTC,2018-03-17,8206.555,8039.6025,8599.54,8035.64
BTC,2018-03-18,7667.99,8206.555,8342.135,7559.26375
BTC,2018-03-19,8189.49125,7667.99,8434.9275,7335.5725
BTC,2018-03-20,8597.3375,8189.49125,8702.465,8130.24
BTC,2018-03-21,9028.2975,8597.3375,9050.51625,8324.26125
BTC,2018-03-22,9023.7175,9028.2975,9159.90125,8765.57
BTC,2018-03-23,8411.6525,9023.7175,9045.44249,8347.285
BTC,2018-03-24,8881.98625,8411.6525,8970.66124,8296.32625
BTC,2018-03-25,8548.8125,8881.98625,9000.44375,8462.90375
BTC,2018-03-26,8429.33124,8548.8125,8660.48749,8370.48875
BTC,2018-03-27,7854.6375,8429.33124,8476.96875,7826.01375
BTC,2018-03-28,7863.255,7854.6375,8130.44875,7744.82125
BTC,2018-03-29,7866.36,7863.255,8096.01625,7814.895
BTC,2018-03-30,6861.325,7866.36,7868.8325,6686.85
BTC,2018-03-31,6970.36375,6861.325,7266.065,6593.73625
BTC,2018-04-01,6926.875,6970.36375,7213.50375,6796.82125
BTC,2018-04-02,6986.835,6926.875,7023.0875,6443.20125
BTC,2018-04-03,7182.12,6986.835,7194.8425,6854.62375
BTC,2018-04-04,7295.89,7182.12,7506.6775,7182.12
BTC,2018-04-05,6769.48375,7295.89,7385.70875,6583.85375
BTC,2018-04-06,6766.5925,6769.48375,6918.6975,6630.9025
BTC,2018-04-07,6854.92125,6766.5925,6892.49375,6513.1025
BTC,2018-04-08,6964.4325,6854.92125,7050.49625,6783.28625
BTC,2018-04-09,7125.53875,6964.4325,7159.98,6897.75
BTC,2018-04-10,6789.2675,7125.53875,7170.76,6616.57125
BTC,2018-04-11,6824.49375,6789.2675,6878.08375,6659.51
BTC,2018-04-12,6941.63875,6824.49375,6964.0825,6807.4375
BTC,2018-04-13,7823.55875,6941.63875,8055.20125,6766.37
BTC,2018-04-14,8040.88125,7823.55875,8218.70375,7767.79875
BTC,2018-04-15,8083.57375,8040.88125,8174.69875,7882.1425
BTC,2018-04-16,8160.4125,8083.57375,8407.7175,8060.46875
BTC,2018-04-17,8030.57,8160.4125,8162.8075,7909.14125
BTC,2018-04-18,7937.61,8030.57,8151.0975,7834.4
BTC,2018-04-19,8188.71875,7937.61,8253.88625,7886.1775
BTC,2018-04-20,8333.81374,8188.71875,8380.25124,8104.87875
BTC,2018-04-21,8866.67,8333.81374,8930.43,8221.25375
BTC,2018-04-22,8830.05875,8866.67,9021.07,8615.67625
BTC,2018-04-23,8868.16124,8830.05875,9009.82,8761.88375
BTC,2018-04-24,9191.82,8868.16124,9220.9675,8818.75875
BTC,2018-04-25,9373.3025,9191.82,9746.81749,9191.82
BTC,2018-04-26,8807.515,9373.3025,9514.41375,8662.285
